tax_id	species	genus	family	order	class	phylum	superkingdom
25891	Phaeoclavulina_flaccida	Phaeoclavulina	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25892	Gautieria_convoluta	Gautieria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25893	Gautieria_fenestrata	Gautieria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25894	Gautieria_fusella	Gautieria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25895	Gautieria_pervestita	Gautieria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25896	Phaeoclavulina_pseudozippelii	Phaeoclavulina	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25897	Gloeocantharellus_neoechinosporus	Gloeocantharellus	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25898	Gloeocantharellus_sp	Gloeocantharellus	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25899	Phaeoclavulina_clavarioides	Phaeoclavulina	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25900	Phaeoclavulina_caroviridula	Phaeoclavulina	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25901	Phaeoclavulina_coniferarum	Phaeoclavulina	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25902	Phaeoclavulina_alboapiculata	Phaeoclavulina	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25903	Gautieria_subglobispora	Gautieria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25904	Paulisebacina_allantoidea	Paulisebacina	Sebacinaceae	Sebacinales	Agaricomycetes	Basidiomycota	Fungi
25905	Ramaria_comitis	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25906	Ramaria_fennica	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25907	Ramaria_velocimutans	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25908	Ramaria_stuntzii	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25909	Ramaria_xanthosperma	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25910	Ramaria_rasilispora	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25911	Ramaria_stricta	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25912	Ramaria_gelatiniaurantia	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25913	Ramaria_thalliovirescens	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25914	Ramaria_synaptopoda	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25915	Ileodictyon_sp	Ileodictyon	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25916	Dictyophora_sp	Dictyophora	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25917	Blumenavia_sp	Blumenavia	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25918	Blumenavia_crucis-hellenicae	Blumenavia	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25919	Itajahya_rosea	Itajahya	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25920	Phallus_purpurascens	Phallus	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25921	Mutinus_caninus	Mutinus	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25922	Staheliomyces_cylindricus	Staheliomyces	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25923	Mutinus_fleischeri	Mutinus	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25924	Mutinus_elegans	Mutinus	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25925	Phallus_luteus	Phallus	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25926	Phallus_echinovolvatus	Phallus	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25927	Mutinus_albotruncatus	Mutinus	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25928	Protubera_sp	Protubera	Clathraceae	Phallales	Agaricomycetes	Basidiomycota	Fungi
25929	Phellodon_castaneoleucus	Phellodon	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25930	Ramaria_cartilaginea	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25931	Ramaria_sinsinii	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25932	Lentaria_gossypina	Lentaria	Lentariaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25933	Ramaria_ichnusensis	Ramaria	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25934	Boletopsis_sp	Boletopsis	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25935	Hydnellum_complicatum	Hydnellum	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25936	Hydnellum_earlianum	Hydnellum	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25937	Boletopsis_nothofagi	Boletopsis	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25938	Boletopsis_watlingii	Boletopsis	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25939	Hydnellum_cristatum	Hydnellum	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25940	Hydnellum_lepidum	Hydnellum	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25941	Sarcodon_squamosus	Sarcodon	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25942	Hydnellum_lundellii	Hydnellum	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25943	Hydnellum_scleropodium	Hydnellum	Bankeraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25944	Burgella_sp	Burgella	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25945	Clavulina_alpina	Clavulina	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25946	Clavulina_caespitosa	Clavulina	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25947	Clavulina_guyanensis	Clavulina	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25948	Gloeomucro_sp	Gloeomucro	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25949	Clavulina_purpurascens	Clavulina	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25950	Hydnum_tottoriense	Hydnum	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25951	Hydnum_albomagnum	Hydnum	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25952	Multiclavula_calocera	Multiclavula	Hydnaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25953	Phellodon_violascens	Phellodon	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25954	Phellodon_mississippiensis	Phellodon	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25955	Phellodon_secretus	Phellodon	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25956	Phellodon_tomentosus	Phellodon	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25957	Lenzitopsis_daii	Lenzitopsis	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25958	Phellodon_crassipileatus	Phellodon	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
25959	Amaurodon_caeruleocaseus	Amaurodon	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Fungi
